id;amount;countryId;yearId
1;7480464;1;1950
2;7571542;1;1951
3;7667534;1;1952
4;7764549;1;1953
5;7864289;1;1954
6;7971933;1;1955
7;8087730;1;1956
8;8210207;1;1957
9;8333827;1;1958
10;8468220;1;1959
11;8622473;1;1960
12;8790140;1;1961
13;8969055;1;1962
14;9157463;1;1963
15;9355510;1;1964
16;9565154;1;1965
17;9783153;1;1966
18;10010037;1;1967
19;10247782;1;1968
20;10494491;1;1969
21;10752973;1;1970
22;11015853;1;1971
23;11286753;1;1972
24;11575308;1;1973
25;11869881;1;1974
26;12157390;1;1975
27;12425276;1;1976
28;12687308;1;1977
29;12938864;1;1978
30;12986378;1;1979
31;12486640;1;1980
32;11155196;1;1981
33;10088290;1;1982
34;9951447;1;1983
35;10243689;1;1984
36;10512220;1;1985
37;10448447;1;1986
38;10322767;1;1987
39;10383459;1;1988
40;10673172;1;1989
41;10694804;1;1990
42;10745168;1;1991
43;12057436;1;1992
44;14003764;1;1993
45;15455560;1;1994
46;16418911;1;1995
47;17106600;1;1996
48;17788818;1;1997
49;18493135;1;1998
50;19262853;1;1999
51;19542986;1;2000
52;19688633;1;2001
53;21000258;1;2002
54;22645136;1;2003
55;23553555;1;2004
56;24411195;1;2005
57;25442946;1;2006
58;25903306;1;2007
59;26427203;1;2008
60;27385311;1;2009
61;28189673;1;2010
62;29249155;1;2011
63;30466484;1;2012
64;31541217;1;2013
65;32716215;1;2014
66;33753499;1;2015
67;34636211;1;2016
68;35643419;1;2017
69;36686787;1;2018
70;37769495;1;2019
71;38972236;1;2020
72;40099460;1;2021
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;1252587;2;1950
;1289175;2;1951
;1326957;2;1952
;1366747;2;1953
;1409011;2;1954
;1453732;2;1955
