id;value
1;1950
2;1951
3;1952
4;1953
5;1954
6;1955
7;1956
8;1957
9;1958
10;1959
11;1960
12;1961
13;1962
14;1963
15;1964
16;1965
17;1966
18;1967
19;1968
20;1969
21;1970
22;1971
23;1972
24;1973
25;1974
26;1975
27;1976
28;1977
29;1978
30;1979
31;1980
32;1981
33;1982
34;1983
35;1984
36;1985
37;1986
38;1987
39;1988
40;1989
41;1990
42;1991
43;1992
44;1993
45;1994
46;1995
47;1996
48;1997
49;1998
50;1999
51;2000
52;2001
53;2002
54;2003
55;2004
56;2005
57;2006
58;2007
59;2008
60;2009
61;2010
62;2011
63;2012
64;2013
65;2014
66;2015
67;2016
68;2017
69;2018
70;2019
71;2020
72;2021
